mdate;Rf;MktRf;SMB;HML
197407;0,00738;-0,00688;-0,03242;0,00112
197408;0,00752;0,00079;-0,03249;0,03405
197409;0,00752;-0,05807;0,00246;0,00962
197410;0,00743;0,01097;-0,05851;-0,00817
197411;0,0066;0,04509;0,00056;-0,07039
197412;0,00692;0,00454;0,01839;0,00759
197501;0,00612;0,07766;-0,0636;0,05879
197502;0,00457;0,10036;0,03386;0,0118
197503;0,00442;0,00473;0,00372;0,0014
197504;0,00377;0,02357;-0,01802;-0,00673
197505;0,00403;-0,07037;0,02091;-0,01201
197506;0,00395;0,00959;-0,00872;0,02706
197507;0,0037;0,0845;-0,061;0,01161
197508;0,00263;-0,04574;0,02245;-0,00084
197509;0,00315;-0,01662;0,0022;-0,00144
197510;0,00301;0,06951;-0,03841;0,02291
197511;0,00296;0,04417;-0,04041;0,03431
197512;0,00348;0,002;0,00149;0,01911
197601;0,00307;0,00623;-0,01975;0,04199
197602;0,00286;0,00017;-0,01012;0,0069
197603;0,00294;0,02492;-0,00693;0,02812
197604;0,00283;-0,05845;0,03098;-0,01237
197605;0,00298;-0,00915;-0,02824;-0,00407
197606;0,00331;0,00978;0,00197;0,00382
197607;0,00356;-0,01362;0,01383;0,00426
197608;0,0036;-0,01019;0,00088;-0,01307
197609;0,00363;0,00601;-0,00197;0,01571
197610;0,00353;-0,07519;0,02716;-0,01114
197611;0,0033;0,0437;-0,03443;0,03562
197612;0,00411;0,00204;0,00448;-0,01215
197701;0,00381;0,00356;-0,01847;0,0405
197702;0,00355;-0,02499;0,00926;0,00752
197703;0,00377;0,02608;-0,01764;0,01896
197704;0,00369;0,06351;-0,02067;-0,00432
197705;0,00352;-0,01688;0,03306;0,00939
197706;0,00342;-0,01748;0,03054;0,00809
197707;0,00344;0,0171;0,01238;0,00978
197708;0,00332;0,01905;0,01075;0,00189
197709;0,00331;0,00593;-0,00125;-0,00814
197710;0,0033;0,02071;0,00538;0,00607
197711;0,00327;0,00451;0,01887;0,0034
197712;0,00331;-0,01423;-0,00004;-0,01762
197801;0,00287;0,00951;0,02829;0,01393
197802;0,00271;0,00523;0,00564;0,0187
197803;0,00289;-0,00487;0,01205;0,02316
197804;0,00292;-0,02974;0,01031;-0,01408
197805;0,00292;0,01956;-0,02015;0,01539
197806;0,00294;0,02919;-0,00282;-0,00993
197807;0,00298;0,03534;0,00865;-0,0019
197808;0,00287;0,01404;0,02278;0,01668
197809;0,00291;0,02218;-0,0015;0,00941
197810;0,00289;-0,02406;-0,00941;-0,00621
197811;0,00267;-0,01354;0,01809;-0,00759
197812;0,00338;-0,00303;0,00806;0,00226
197901;0,00305;0,01201;0,00471;0,0302
197902;0,00312;-0,03072;-0,00297;0,01424
197903;0,00355;-0,0179;0,00153;0,02172
197904;0,0044;-0,00303;-0,00566;-0,0016
197905;0,00454;-0,04769;0,01127;-0,02124
197906;0,0047;-0,01631;-0,00913;-0,00076
197907;0,00503;0,03079;-0,01352;0,01479
197908;0,00544;0,00945;-0,00522;0,01403
197909;0,00615;-0,00506;0,01552;-0,02908
197910;0,00665;-0,05095;0,0038;-0,00714
197911;0,00676;0,00074;-0,02396;-0,01125
197912;0,00781;-0,02247;0,00582;0,00059
198001;0,007;0,00026;-0,02306;-0,00431
198002;0,00686;0,01684;-0,03153;-0,01014
198003;0,00732;-0,0806;0,00489;-0,02109
198004;0,00751;0,02209;-0,0188;-0,0068
198005;0,00804;0,02192;-0,00848;-0,00123
198006;0,00799;0,02646;-0,00051;-0,00712
198007;0,00781;0,02523;0,01308;-0,00117
198008;0,00733;-0,02651;0,03284;-0,01588
198009;0,00728;-0,00816;-0,01223;-0,01974
198010;0,00726;-0,02707;0,00604;-0,02696
198011;0,00731;0,00263;-0,01075;-0,01135
198012;0,00826;-0,03004;0,00661;-0,00198
198101;0,00751;-0,02502;0,00216;-0,01456
198102;0,00798;-0,00751;-0,01094;0,02545
198103;0,01042;0,01979;0,00331;0,02975
198104;0,00992;0,03085;-0,01721;-0,00751
198105;0,01019;-0,03167;0,00477;-0,01426
198106;0,01004;0,05346;-0,05037;-0,00452
198107;0,01004;0,00705;-0,00469;0,00756
198108;0,01002;-0,03109;0,01295;0,02151
198109;0,00972;-0,06591;0,01749;-0,0238
198110;0,00924;-0,0172;0,00162;-0,0307
198111;0,00869;0,01943;-0,00352;-0,00371
198112;0,00892;-0,03149;0,04934;-0,02188
198201;0,00835;0,01222;-0,0112;0,02083
198202;0,00771;0,01408;0,02316;-0,00688
